,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-01-18,485000.0,1746,486746.0,0.0,BUY,0.0
1,2019-03-05,600000.0,2760,486746.0,110494.0,SELL,100.0
2,2019-03-28,592500.0,2133,594633.0,0.0,BUY,18.087527389321764
3,2019-06-18,602500.0,2771,594633.0,5096.0,SELL,83.55501813784764
4,2019-07-09,600000.0,2160,602160.0,0.0,BUY,9.649754725395354
5,2019-10-09,560000.0,2576,602160.0,-44736.0,SELL,88.82779188704303
6,2019-10-18,562500.0,2025,564525.0,0.0,BUY,12.340036563071294
7,2019-10-22,562500.0,2587,564525.0,-4612.0,SELL,100.0
8,2019-11-25,575000.0,2070,577070.0,0.0,BUY,14.285714285714292
9,2019-12-13,675000.0,3105,577070.0,94825.0,SELL,83.9386223532565
