,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,5.080140196117043,3616.5,3943.8698214557967,3289.1301785442033
1,2019-04-03,370000.0,1702,362299.0,5999.0,SELL,SELL,86.11111111111111,3580.5,3709.724610659116,3451.275389340884
2,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY,0.0,3670.0,3812.8285685708574,3527.1714314291426
3,2019-04-30,400000.0,1840,371332.0,26828.0,SELL,SELL,96.9149150880835,3730.0,3910.0000000000005,3549.9999999999995
4,2019-06-07,392000.0,1411,393411.0,0.0,BUY,BUY,0.0,3971.0,4038.201190465647,3903.798809534353
5,2019-07-11,410000.0,1886,393411.0,14703.0,SELL,SELL,98.85421450844835,4027.5,4387.326347006441,3667.6736529935583
6,2019-09-02,468000.0,1684,469684.0,0.0,BUY,BUY,0.0,4720.5,4784.523433210036,4656.476566789964
7,2019-09-06,474000.0,2180,469684.0,2136.0,SELL,SELL,92.08015535729363,4723.5,4765.105288125429,4681.894711874571
8,2019-09-30,473000.0,1702,474702.0,0.0,BUY,BUY,0.0,4731.5,4767.430488446443,4695.569511553557
9,2019-10-15,474000.0,2180,474702.0,-2882.0,SELL,SELL,97.15263104940135,4726.5,4746.773134932712,4706.226865067288
10,2019-11-01,450000.0,1620,451620.0,0.0,BUY,BUY,4.285714285714278,4644.5,4830.669277809202,4458.330722190798
11,2019-11-05,474000.0,2180,451620.0,20200.0,SELL,SELL,90.32532305599638,4647.0,4837.7983228437815,4456.2016771562185
