,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14,CCI_20
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,5.080140196117043,-17.535042162282828
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,SELL,86.11111111111111,59.440945751850286
2,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY,0.0,-100.32095369096787
3,2019-05-03,400000.0,1840,371332.0,26828.0,SELL,SELL,89.12046309097722,120.25624033576314
4,2019-06-07,392000.0,1411,393411.0,0.0,BUY,BUY,0.0,-111.1111111111122
5,2019-07-10,410000.0,1886,393411.0,14703.0,SELL,SELL,98.85421450844835,0.3650967506387864
6,2019-09-02,468000.0,1684,469684.0,0.0,BUY,BUY,0.0,-122.95081967213133
7,2019-09-06,474000.0,2180,469684.0,2136.0,SELL,SELL,92.08015535729363,96.10983981693404
8,2019-10-01,472000.0,1699,473699.0,0.0,BUY,BUY,0.0,-73.56321839080053
9,2019-10-14,474000.0,2180,473699.0,-1879.0,SELL,SELL,97.15263104940135,55.880441845349104
10,2019-11-01,450000.0,1620,451620.0,0.0,BUY,BUY,4.285714285714278,-118.39266450916999
11,2019-11-04,475000.0,2185,451620.0,21195.0,SELL,SELL,88.8126159554731,19.102990033222596
