,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,5.080140196117043,1.4285714285714286
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,SELL,86.11111111111111,100.0
2,2019-06-07,392000.0,1411,393411.0,0.0,BUY,BUY,0.0,0.0
3,2019-07-10,410000.0,1886,393411.0,14703.0,SELL,SELL,98.85421450844835,100.0
4,2019-08-29,472000.0,1699,473699.0,0.0,BUY,BUY,0.0,0.0
5,2019-09-06,474000.0,2180,473699.0,-1879.0,SELL,SELL,92.08015535729363,87.5
6,2019-09-27,473000.0,1702,474702.0,0.0,BUY,BUY,0.0,0.0
7,2019-11-04,475000.0,2185,474702.0,-1887.0,SELL,SELL,88.8126159554731,100.0
8,2019-12-19,484000.0,1742,485742.0,0.0,BUY,BUY,0.0,0.0
9,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,SELL,88.90925756186985,100.0
